time,Dendrite passive:1,Input signal,Input,Na prefilter:1,Dendrite NL,Soma NL prefilter out,Soma after passive,Vs,Input + Vs,Vd,Gain1:1,Integrator1:1,Spike Output
0,0,0,0,0,0.036564157,0,0,0,0,0.036564157,1,0,0
0.005495844,1.56258E-06,0.007105329,0.011368526,1.04118E-05,0.036565129,9.19441E-09,6.69791E-06,6.69791E-06,0.011373885,0.036566692,0.99451923,0,0
0.015495844,1.24203E-05,0.020033877,0.032054204,8.26811E-05,0.036571878,7.29708E-08,1.8885E-05,1.8885E-05,0.032069312,0.036584298,0.984623598,0,0
0.025495844,3.36178E-05,0.032962426,0.052739881,0.00022358,0.03658504,1.97222E-07,3.10767E-05,3.10767E-05,0.052764742,0.036618658,0.97482643,0,0
0.035495844,6.51497E-05,0.045890974,0.073425558,0.00043288,0.0366046,3.81682E-07,4.32786E-05,4.32786E-05,0.073460181,0.03666975,0.965126745,0,0
0.045495844,0.000107011,0.058819522,0.094111235,0.000710353,0.036630547,6.26117E-07,5.54962E-05,5.54962E-05,0.094155632,0.036737558,0.955523573,0,0
0.055495844,0.000159197,0.07174807,0.114796913,0.001055773,0.036662874,9.30319E-07,6.77351E-05,6.77351E-05,0.114851101,0.03682207,0.946015955,0,0
0.065495844,0.000221701,0.084676619,0.13548259,0.001468913,0.036701575,1.29411E-06,8.0001E-05,8.0001E-05,0.135546591,0.036923276,0.936602939,0,0
0.075495844,0.00029452,0.097605167,0.156168267,0.001949549,0.03674665,1.71734E-06,9.22992E-05,9.22992E-05,0.156242107,0.037041169,0.927283584,0,0
0.085495844,0.000377647,0.110533715,0.176853944,0.002497455,0.0367981,2.19989E-06,0.000104635,0.000104635,0.176937653,0.037175747,0.918056958,0,0
0.095495844,0.000471078,0.123462264,0.197539622,0.003112409,0.03685593,2.74167E-06,0.000117015,0.000117015,0.197633234,0.037327008,0.908922139,0,0
0.105495844,0.000574648,0.13569775,0.2171164,0.003793123,0.03692005,3.34261E-06,0.000129444,0.000129444,0.217219955,0.037494698,0.899878212,0,0
0.115495844,0.000687612,0.147365233,0.235784372,0.004534457,0.036990005,4.00268E-06,0.000141927,0.000141927,0.235897914,0.037677617,0.890924275,0,0
0.125495844,0.000809857,0.159032716,0.254452345,0.00533548,0.037065739,4.72185E-06,0.000154469,0.000154469,0.25457592,0.037875596,0.88205943,0,0
0.135495844,0.000941377,0.170700198,0.273120317,0.006195994,0.037147269,5.50016E-06,0.000167076,0.000167076,0.273253978,0.038088645,0.873282792,0,0
0.145495844,0.001082168,0.182367681,0.29178829,0.007115801,0.037234612,6.33763E-06,0.000179752,0.000179752,0.291932092,0.03831678,0.864593483,0,0
0.155495844,0.001232225,0.194035164,0.310456262,0.008094704,0.03732779,7.23433E-06,0.000192502,0.000192502,0.310610264,0.038560015,0.855990634,0,0
0.165495844,0.001391544,0.205702647,0.329124235,0.009132506,0.037426825,8.19034E-06,0.000205332,0.000205332,0.329288501,0.03881837,0.847473385,0,0
0.175495844,0.001560121,0.21737013,0.347792207,0.010229012,0.037531745,9.20579E-06,0.000218246,0.000218246,0.347966804,0.039091865,0.839040884,0,0
0.185495844,0.001737949,0.229037612,0.36646018,0.011384026,0.037642576,1.02808E-05,0.000231249,0.000231249,0.366645179,0.039380526,0.830692288,0,0
0.195495844,0.001925026,0.240705095,0.385128152,0.012597355,0.037759352,1.14155E-05,0.000244347,0.000244347,0.38532363,0.039684378,0.822426761,0,0
0.205495844,0.002121199,0.251730218,0.402768348,0.013867818,0.03788201,1.26102E-05,0.000257545,0.000257545,0.402974384,0.040003208,0.814243478,0,0
0.215495844,0.002325777,0.262228889,0.419566223,0.015190664,0.038010143,1.38649E-05,0.000270846,0.000270846,0.4197829,0.040335919,0.80614162,0,0
0.225495844,0.002538654,0.272727561,0.436364098,0.016565042,0.03814372,1.51801E-05,0.000284256,0.000284256,0.436591502,0.040682375,0.798120377,0,0
0.235495844,0.002759828,0.283226233,0.453161972,0.017990783,0.03828278,1.65558E-05,0.00029778,0.00029778,0.453400196,0.041042608,0.790178947,0,0
0.245495844,0.002989293,0.293724904,0.469959847,0.019467715,0.038427359,1.79924E-05,0.000311421,0.000311421,0.470208984,0.041416653,0.782316535,0,0
0.255495844,0.003227046,0.304223576,0.486757722,0.020995668,0.038577501,1.94902E-05,0.000325185,0.000325185,0.487017869,0.041804548,0.774532355,0,0
0.265495844,0.003473083,0.314722248,0.503555596,0.022574473,0.038733248,2.10495E-05,0.000339075,0.000339075,0.503826856,0.042206331,0.76682563,0,0
0.275495844,0.003727399,0.325220919,0.520353471,0.024203961,0.038894645,2.26706E-05,0.000353098,0.000353098,0.520635949,0.042622044,0.759195587,0,0
0.285495844,0.00398999,0.335719591,0.537151346,0.025883964,0.039061741,2.43538E-05,0.000367256,0.000367256,0.53744515,0.043051731,0.751641465,0,0
0.295495844,0.004260853,0.346218263,0.55394922,0.027614313,0.039234584,2.60997E-05,0.000381555,0.000381555,0.554254465,0.043495437,0.744162507,0,0
0.305495844,0.004539845,0.356121978,0.569795166,0.02939393,0.039413137,2.79085E-05,0.000396,0.000396,0.570111966,0.043952982,0.736757967,0,0
0.315495844,0.004826329,0.365538094,0.584860951,0.031218424,0.039597024,2.97808E-05,0.000410595,0.000410595,0.585189427,0.044423353,0.729427102,0,0
0.325495844,0.005120207,0.37495421,0.599926736,0.033087021,0.039786233,3.17168E-05,0.000425343,0.000425343,0.600267011,0.04490644,0.722169181,0,0
0.335495844,0.005421475,0.384370326,0.614992521,0.034999575,0.039980817,3.37172E-05,0.00044025,0.00044025,0.615344722,0.045402292,0.714983478,0,0
