time,Dendrite passive:1,Input signal,Input,Na prefilter:1,Dendrite NL,Soma NL prefilter out,Soma after passive,Vs,Input + Vs,Vd,Gain1:1,Integrator1:1,Spike Output
0,0,0,0,0,0.036564157,0,0,0,0,0.036564157,1,0,0
0.005495844,1.07451E-06,0.007105329,0.007815862,7.15966E-06,0.036564825,9.19438E-09,6.69786E-06,6.69786E-06,0.00782122,0.0365659,0.99451923,0,0
0.015495844,8.5408E-06,0.020033877,0.022037265,5.68554E-05,0.036569466,7.29687E-08,1.88839E-05,1.88839E-05,0.022052372,0.036578007,0.984623598,0,0
0.025495844,2.31172E-05,0.032962426,0.036258668,0.000153744,0.036578516,1.97206E-07,3.10719E-05,3.10719E-05,0.036283526,0.036601633,0.97482643,0,0
0.035495844,4.48E-05,0.045890974,0.050480071,0.000297668,0.036591963,3.81625E-07,4.32656E-05,4.32656E-05,0.050514684,0.036636763,0.965126745,0,0
0.045495844,7.35859E-05,0.058819522,0.064701474,0.000488472,0.036609797,6.25962E-07,5.54688E-05,5.54688E-05,0.064745849,0.036683383,0.955523573,0,0
0.055495844,0.000109471,0.07174807,0.078922877,0.000725999,0.036632011,9.29976E-07,6.76855E-05,6.76855E-05,0.078977026,0.036741482,0.946015955,0,0
0.065495844,0.000152452,0.084676619,0.093144281,0.001010094,0.036658597,1.29345E-06,7.99193E-05,7.99193E-05,0.093208216,0.03681105,0.936602939,0,0
0.075495844,0.000202526,0.097605167,0.107365684,0.001340602,0.036689551,1.71617E-06,9.21742E-05,9.21742E-05,0.107439423,0.036892077,0.927283584,0,0
0.085495844,0.000259688,0.110533715,0.121587087,0.001717368,0.036724869,2.19797E-06,0.000104454,0.000104454,0.12167065,0.036984556,0.918056958,0,0
0.095495844,0.000323935,0.123462264,0.13580849,0.002140239,0.036764548,2.73868E-06,0.000116762,0.000116762,0.1359019,0.037088483,0.908922139,0,0
0.105495844,0.000395155,0.13569775,0.149267525,0.00260833,0.03680852,3.33816E-06,0.000129103,0.000129103,0.149370807,0.037203675,0.899878212,0,0
0.115495844,0.000472835,0.147365233,0.162101756,0.003118107,0.036856466,3.99629E-06,0.00014148,0.00014148,0.16221494,0.037329301,0.890924275,0,0
0.125495844,0.000556896,0.159032716,0.174935987,0.00366893,0.036908343,4.71296E-06,0.000153896,0.000153896,0.175059104,0.037465239,0.88205943,0,0
0.135495844,0.000647336,0.170700198,0.187770218,0.004260663,0.036964153,5.48809E-06,0.000166355,0.000166355,0.187903302,0.037611489,0.873282792,0,0
