time,Dendrite passive:1,Input signal,Input,Na prefilter:1,Dendrite NL,Soma NL prefilter out,Soma after passive,Vs,Input + Vs,Vd,Gain1:1,Integrator1:1,Spike Output
0,0,0,0,0,0.036564157,0,0,0,0,0.036564157,1,0,0
0.005495844,1.46497E-06,0.007105329,0.010657993,9.76139E-06,0.036565068,9.19441E-09,6.6979E-06,6.6979E-06,0.010663352,0.036566533,0.99451923,0,0
0.015495844,1.16444E-05,0.020033877,0.030050816,7.7516E-05,0.036571396,7.29704E-08,1.88848E-05,1.88848E-05,0.030065924,0.03658304,0.984623598,0,0
0.025495844,3.15176E-05,0.032962426,0.049443638,0.000209613,0.036583735,1.97219E-07,3.10757E-05,3.10757E-05,0.049468499,0.036615253,0.97482643,0,0
0.035495844,6.10798E-05,0.045890974,0.068836461,0.000405837,0.036602072,3.81671E-07,4.3276E-05,4.3276E-05,0.068871081,0.036663152,0.965126745,0,0
0.045495844,0.000100326,0.058819522,0.088229283,0.000665977,0.036626396,6.26086E-07,5.54907E-05,5.54907E-05,0.088273676,0.036726722,0.955523573,0,0
0.055495844,0.000149252,0.07174807,0.107622106,0.000989818,0.036656699,9.30251E-07,6.77252E-05,6.77252E-05,0.107676286,0.036805951,0.946015955,0,0
0.065495844,0.000207851,0.084676619,0.127014928,0.001377149,0.036692975,1.29398E-06,7.99846E-05,7.99846E-05,0.127078916,0.036900827,0.936602939,0,0
0.075495844,0.000276121,0.097605167,0.14640775,0.001827759,0.036735223,1.71711E-06,9.22742E-05,9.22742E-05,0.14648157,0.037011344,0.927283584,0,0
0.085495844,0.000354055,0.110533715,0.165800573,0.002341438,0.036783442,2.19951E-06,0.000104599,0.000104599,0.165884252,0.037137497,0.918056958,0,0
0.095495844,0.00044165,0.123462264,0.185193395,0.002917975,0.036837636,2.74107E-06,0.000116965,0.000116965,0.185286967,0.037279285,0.908922139,0,0
0.105495844,0.000538749,0.13569775,0.203546625,0.003556165,0.036897717,3.34172E-06,0.000129376,0.000129376,0.203650125,0.037436466,0.899878212,0,0
0.115495844,0.000644657,0.147365233,0.221047849,0.004251187,0.036963259,4.0014E-06,0.000141837,0.000141837,0.221161319,0.037607915,0.890924275,0,0
0.125495844,0.000759265,0.159032716,0.238549073,0.00500217,0.037034207,4.72008E-06,0.000154355,0.000154355,0.238672557,0.037793471,0.88205943,0,0
0.135495844,0.000882569,0.170700198,0.256050298,0.005808928,0.037110574,5.49775E-06,0.000166932,0.000166932,0.256183843,0.037993143,0.873282792,0,0
0.145495844,0.001014564,0.182367681,0.273551522,0.006671274,0.037192375,6.33443E-06,0.000179574,0.000179574,0.273695181,0.03820694,0.864593483,0,0
0.155495844,0.001155248,0.194035164,0.291052746,0.007589026,0.037279628,7.23015E-06,0.000192285,0.000192285,0.291206574,0.038434875,0.855990634,0,0
0.165495844,0.001304614,0.205702647,0.30855397,0.008561997,0.037372351,8.185E-06,0.00020507,0.00020507,0.308718026,0.038676965,0.847473385,0,0
0.175495844,0.00146266,0.21737013,0.326055194,0.009590005,0.037470566,9.19904E-06,0.000217934,0.000217934,0.326229542,0.038933226,0.839040884,0,0
0.185495844,0.00162938,0.229037612,0.343556419,0.010672866,0.037574297,1.02724E-05,0.000230882,0.000230882,0.343741124,0.039203677,0.830692288,0,0
0.195495844,0.00180477,0.240705095,0.361057643,0.011810399,0.037683572,1.14052E-05,0.000243918,0.000243918,0.361252777,0.039488342,0.822426761,0,0
0.205495844,0.001988688,0.251730218,0.377595326,0.013001498,0.037798328,1.25976E-05,0.000257047,0.000257047,0.377800964,0.039787015,0.814243478,0,0
0.215495844,0.002180486,0.262228889,0.393343334,0.014241707,0.037918182,1.38497E-05,0.000270273,0.000270273,0.393559552,0.040098668,0.80614162,0,0
0.225495844,0.002380065,0.272727561,0.409091341,0.01553023,0.038043102,1.51619E-05,0.0002836,0.0002836,0.409318222,0.040423168,0.798120377,0,0
0.235495844,0.002587423,0.283226233,0.424839349,0.016866906,0.038173121,1.65342E-05,0.000297034,0.000297034,0.425076976,0.040760544,0.790178947,0,0
0.245495844,0.002802554,0.293724904,0.440587356,0.018251577,0.03830827,1.79669E-05,0.000310577,0.000310577,0.440835818,0.041110824,0.782316535,0,0
0.255495844,0.003025455,0.304223576,0.456335364,0.019684082,0.038448585,1.94604E-05,0.000324235,0.000324235,0.456594752,0.04147404,0.774532355,0,0
0.265495844,0.003256122,0.314722248,0.472083371,0.021164262,0.038594103,2.10148E-05,0.000338012,0.000338012,0.472353781,0.041850225,0.76682563,0,0
0.275495844,0.003494551,0.325220919,0.487831379,0.022691959,0.038744863,2.26305E-05,0.000351912,0.000351912,0.488112908,0.042239414,0.759195587,0,0
0.285495844,0.003740739,0.335719591,0.503579386,0.024267016,0.038900904,2.43077E-05,0.000365938,0.000365938,0.503872137,0.042641643,0.751641465,0,0
0.295495844,0.003994681,0.346218263,0.519327394,0.025889274,0.03906227,2.60469E-05,0.000380097,0.000380097,0.519631471,0.043056951,0.744162507,0,0
