time,Dendrite passive:1,Input signal,Input,Na prefilter:1,Dendrite NL,Soma NL prefilter out,Soma after passive,Vs,Input + Vs,Vd,Gain1:1,Integrator1:1,Spike Output
0,0,0,0,0,0.036564157,0,0,0,0,0.036564157,1,0,0
0.005495844,1.95305E-06,0.007105329,0.014210658,1.30136E-05,0.036565372,9.19444E-09,6.69794E-06,6.69794E-06,0.014216016,0.036567325,0.99451923,0,0
0.015495844,1.55239E-05,0.020033877,0.040067754,0.000103342,0.036573808,7.29725E-08,1.88859E-05,1.88859E-05,0.040082863,0.036589332,0.984623598,0,0
0.025495844,4.20182E-05,0.032962426,0.065924851,0.000279448,0.03659026,1.97234E-07,3.10806E-05,3.10806E-05,0.065949715,0.036632278,0.97482643,0,0
0.035495844,8.14295E-05,0.045890974,0.091781948,0.000541048,0.036614713,3.81728E-07,4.3289E-05,4.3289E-05,0.091816579,0.036696143,0.965126745,0,0
0.045495844,0.000133751,0.058819522,0.117639044,0.000887857,0.036647156,6.26241E-07,5.55181E-05,5.55181E-05,0.117683459,0.036780907,0.955523573,0,0
0.055495844,0.000198977,0.07174807,0.143496141,0.001319591,0.036687583,9.30593E-07,6.77749E-05,6.77749E-05,0.143550361,0.03688656,0.946015955,0,0
0.065495844,0.0002771,0.084676619,0.169353237,0.001835968,0.036735993,1.29464E-06,8.00663E-05,8.00663E-05,0.16941729,0.037013093,0.936602939,0,0
0.075495844,0.000368115,0.097605167,0.195210334,0.002436707,0.036792392,1.71828E-06,9.23992E-05,9.23992E-05,0.195284253,0.037160507,0.927283584,0,0
0.085495844,0.000472014,0.110533715,0.221067431,0.003121525,0.036856788,2.20143E-06,0.000104781,0.000104781,0.221151255,0.037328803,0.918056958,0,0
0.095495844,0.000588792,0.123462264,0.246924527,0.003890145,0.036929198,2.74407E-06,0.000117218,0.000117218,0.247018301,0.03751799,0.908922139,0,0
0.105495844,0.000718242,0.13569775,0.2713955,0.004740958,0.037009514,3.34617E-06,0.000129717,0.000129717,0.271499273,0.037727756,0.899878212,0,0
0.115495844,0.000859434,0.147365233,0.294730465,0.005667537,0.037097179,4.00779E-06,0.000142285,0.000142285,0.294844293,0.037956613,0.890924275,0,0
0.125495844,0.001012225,0.159032716,0.318065431,0.00666872,0.037192133,4.72897E-06,0.000154928,0.000154928,0.318189374,0.038204358,0.88205943,0,0
0.135495844,0.00117661,0.170700198,0.341400397,0.007744259,0.037294406,5.50982E-06,0.000167653,0.000167653,0.341534519,0.038471015,0.873282792,0,0
0.145495844,0.001352581,0.182367681,0.364735362,0.008893906,0.037404033,6.35045E-06,0.000180466,0.000180466,0.364879735,0.038756614,0.864593483,0,0
0.155495844,0.001540135,0.194035164,0.388070328,0.010117416,0.037521053,7.25103E-06,0.000193373,0.000193373,0.388225026,0.039061188,0.855990634,0,0
0.165495844,0.001739264,0.205702647,0.411405294,0.011414542,0.037645509,8.21174E-06,0.00020638,0.00020638,0.411570398,0.039384773,0.847473385,0,0
0.175495844,0.001949964,0.21737013,0.434740259,0.01278504,0.037777447,9.23279E-06,0.000219494,0.000219494,0.434915854,0.039727411,0.839040884,0,0
0.185495844,0.002172228,0.229037612,0.458075225,0.014228666,0.03791692,1.03144E-05,0.000232721,0.000232721,0.458261402,0.040089148,0.830692288,0,0
0.195495844,0.002406051,0.240705095,0.481410191,0.015745177,0.038063981,1.1457E-05,0.000246067,0.000246067,0.481607044,0.040470032,0.822426761,0,0
0.205495844,0.002651242,0.251730218,0.503460435,0.017333099,0.03821857,1.26606E-05,0.000259539,0.000259539,0.503668066,0.040869813,0.814243478,0,0
0.215495844,0.002906939,0.262228889,0.524457779,0.018986492,0.038380192,1.39259E-05,0.000273142,0.000273142,0.524676293,0.041287132,0.80614162,0,0
0.225495844,0.00317301,0.272727561,0.545455122,0.020704293,0.038548825,1.52529E-05,0.000286883,0.000286883,0.545684629,0.041721835,0.798120377,0,0
0.235495844,0.003449449,0.283226233,0.566452465,0.022486289,0.038724532,1.66423E-05,0.000300768,0.000300768,0.566693079,0.042173982,0.790178947,0,0
0.245495844,0.003736252,0.293724904,0.587449809,0.024332267,0.038907382,1.80943E-05,0.000314801,0.000314801,0.587701649,0.042643634,0.782316535,0,0
0.255495844,0.004033413,0.304223576,0.608447152,0.026242015,0.039097445,1.96095E-05,0.000328989,0.000328989,0.608710343,0.043130858,0.774532355,0,0
0.265495844,0.004340927,0.314722248,0.629444495,0.028215319,0.039294795,2.11883E-05,0.000343337,0.000343337,0.629719165,0.043635722,0.76682563,0,0
0.275495844,0.00465879,0.325220919,0.650441839,0.03025197,0.039499512,2.28312E-05,0.000357852,0.000357852,0.650728121,0.044158301,0.759195587,0,0
